"InvoiceNo","StockCode","Description","Quantity","UnitPrice","CustomerID"
"536389","22941","CHRISTMAS_LIGHTS_10_REINDEER",6,8.5,12431
"536389","21622","VINTAGE_UNION_JACK_CUSHION_COVER",8,4.95,12431
"536389","21791","VINTAGE_HEADS_AND_TAILS_CARD_GAME",12,1.25,12431
"536389","35004C","SET_OF_3_COLOURED__FLYING_DUCKS",6,5.45,12431
"536389","35004G","SET_OF_3_GOLD_FLYING_DUCKS",4,6.35,12431
"536389","85014B","RED_RETROSPOT_UMBRELLA",6,5.95,12431
"536389","85014A","BLACK/BLUE_POLKADOT_UMBRELLA",3,5.95,12431
"536389","22193","RED_DINER_WALL_CLOCK",2,8.5,12431
"536389","22726","ALARM_CLOCK_BAKELIKE_GREEN",4,3.75,12431
"536389","22727","ALARM_CLOCK_BAKELIKE_RED",4,3.75,12431
"536389","22192","BLUE_DINER_WALL_CLOCK",2,8.5,12431
"536389","22191","IVORY_DINER_WALL_CLOCK",2,8.5,12431
"536389","22195","LARGE_HEART_MEASURING_SPOONS",24,1.65,12431
"536389","22196","SMALL_HEART_MEASURING_SPOONS",24,0.85,12431
"537676","22567","20_DOLLY_PEGS_RETROSPOT",24,1.25,12386
"537676","22915","ASSORTED_BOTTLE_TOP__MAGNETS",120,0.36,12386
"537676","22926","IVORY_GIANT_GARDEN_THERMOMETER",12,5.95,12386
"537676","22953","BIRTHDAY_PARTY_CORDON_BARRIER_TAPE",24,1.25,12386
"537676","21906","PHARMACIE_FIRST_AID_TIN",4,6.75,12386
"537676","22495","SET_OF_2_ROUND_TINS_CAMEMBERT",6,2.95,12386
"537676","22555","PLASTERS_IN_TIN_STRONGMAN",12,1.65,12386
"537676","22557","PLASTERS_IN_TIN_VINTAGE_PAISLEY",12,1.65,12386
"C538723","22333","RETROSPOT_PARTY_BAG_+_STICKER_SET",-7,1.65,12434
"C538723","22094","RED_RETROSPOT_TISSUE_BOX",-5,1.25,12434
"C538723","21217","RED_RETROSPOT_ROUND_CAKE_TINS",-1,9.95,12434
"539419","48138","DOORMAT_UNION_FLAG",10,6.75,12431
"539419","79067","CORONA_MEXICAN_TRAY",50,2.95,12431
"539419","20725","LUNCH_BAG_RED_RETROSPOT",10,1.65,12431
"539419","85099B","JUMBO_BAG_RED_RETROSPOT",10,1.95,12431
"539419","22728","ALARM_CLOCK_BAKELIKE_PINK",4,3.75,12431
"539419","22196","SMALL_HEART_MEASURING_SPOONS",24,0.85,12431
"539419","22195","LARGE_HEART_MEASURING_SPOONS",12,1.65,12431
"539419","22219","LOVEBIRD_HANGING_DECORATION_WHITE",12,0.85,12431
"539419","20685","DOORMAT_RED_RETROSPOT",4,7.95,12431
"539419","48138","DOORMAT_UNION_FLAG",10,6.75,12431
"540267","22078","RIBBON_REEL_LACE_DESIGN",120,1.85,12415
"540267","22079","RIBBON_REEL_HEARTS_DESIGN",120,1.45,12415
"540267","22080","RIBBON_REEL_POLKADOTS",120,1.45,12415
"540267","22077","6_RIBBONS_RUSTIC_CHARM",144,1.45,12415
"540267","22505","MEMO_BOARD_COTTAGE_DESIGN",24,4.25,12415
"540267","22516","CHILDS_GARDEN_RAKE_BLUE",36,1.85,12415
"540267","22517","CHILDS_GARDEN_RAKE_PINK",36,1.85,12415
"540267","22518","CHILDS_GARDEN_BRUSH_BLUE",36,1.85,12415
"540267","22519","CHILDS_GARDEN_BRUSH_PINK",36,1.85,12415
"540267","22514","CHILDS_GARDEN_SPADE_BLUE",36,1.85,12415
"540267","22515","CHILDS_GARDEN_SPADE_PINK",36,1.85,12415
"540267","22522","CHILDS_GARDEN_FORK_BLUE",192,0.72,12415
"540267","22524","CHILDRENS_GARDEN_GLOVES_BLUE",100,1.06,12415
"540267","22525","CHILDRENS_GARDEN_GLOVES_PINK",100,1.06,12415
"540267","22933","BAKING_MOULD_EASTER_EGG_MILK_CHOC",6,2.95,12415
"540267","22934","BAKING_MOULD_EASTER_EGG_WHITE_CHOC",48,2.55,12415
"540267","84218","BOX/12_CHICK_&_EGG_IN_BASKET",60,1.69,12415
"540267","84228","HEN_HOUSE_W_CHICK_STANDING",120,0.37,12415
"540267","22148","EASTER_CRAFT_4_CHICKS",40,1.65,12415
"540267","22857","ASSORTED_EASTER_GIFT_TAGS",144,0.72,12415
"540267","22858","EASTER_TIN_KEEPSAKE",48,1.65,12415
"540267","22859","EASTER_TIN_BUNNY_BOUQUET",48,1.65,12415
"540267","22860","EASTER_TIN_CHICKS_PINK_DAISY",48,1.65,12415
"540267","21915","RED__HARMONICA_IN_BOX",240,1.06,12415
"540267","21914","BLUE_HARMONICA_IN_BOX",240,1.06,12415
"540267","22492","MINI_PAINT_SET_VINTAGE",576,0.55,12415
"540267","22619","SET_OF_6_SOLDIER_SKITTLES",80,3.39,12415
"540267","21891","TRADITIONAL_WOODEN_SKIPPING_ROPE",144,1.06,12415
"540267","22620","4_TRADITIONAL_SPINNING_TOPS",160,1.06,12415
"540267","22659","LUNCH_BOX_I_LOVE_LONDON",64,1.65,12415
"540267","22720","SET_OF_3_CAKE_TINS_PANTRY_DESIGN",240,4.25,12415
"540267","22722","SET_OF_6_SPICE_TINS_PANTRY_DESIGN",168,3.45,12415
"540267","22692","DOORMAT_WELCOME_TO_OUR_HOME",20,6.75,12415
"540267","20685","DOORMAT_RED_RETROSPOT",20,6.75,12415
"540267","22379","RECYCLING_BAG_RETROSPOT",100,1.85,12415
"540267","22378","WALL_TIDY_RETROSPOT",60,0.85,12415
"540267","22354","RETROSPOT_PADDED_SEAT_CUSHION",60,3.39,12415
"540267","21243","PINK__POLKADOT_PLATE",96,1.45,12415
"540267","21244","BLUE_POLKADOT_PLATE",96,1.45,12415
"540267","21242","RED_RETROSPOT_PLATE",96,1.45,12415
"540267","21239","PINK__POLKADOT_CUP",96,0.72,12415
"540267","21240","BLUE_POLKADOT_CUP",96,0.72,12415
"540267","20676","RED_RETROSPOT_BOWL",72,1.06,12415
"540267","20677","PINK_POLKADOT_BOWL",72,1.06,12415
"540267","21238","RED_RETROSPOT_CUP",96,0.72,12415
"540267","20675","BLUE_POLKADOT_BOWL",72,1.06,12415
"540280","21422","PORCELAIN_ROSE_SMALL",80,0.85,12386
"540280","21421","PORCELAIN_ROSE_LARGE",60,1.25,12386
"540557","22523","CHILDS_GARDEN_FORK_PINK",96,0.85,12415
"540700","21581","SKULLS__DESIGN__COTTON_TOTE_BAG",6,2.25,12393
"540700","22619","SET_OF_6_SOLDIER_SKITTLES",8,3.75,12393
"540700","84997B","RED_3_PIECE_RETROSPOT_CUTLERY_SET",6,3.75,12393
"540700","20727","LUNCH_BAG__BLACK_SKULL.",20,1.65,12393
"540700","20726","LUNCH_BAG_WOODLAND",20,1.65,12393
"540700","22383","LUNCH_BAG_SUKI__DESIGN",10,1.65,12393
"540700","21249","WOODLAND__HEIGHT_CHART_STICKERS",6,2.95,12393
"540700","22378","WALL_TIDY_RETROSPOT",20,0.85,12393
"540700","22175","PINK_OWL_SOFT_TOY",12,2.95,12393
"540700","22176","BLUE_OWL_SOFT_TOY",12,2.95,12393
"540700","84997C","BLUE_3_PIECE_POLKADOT_CUTLERY_SET",6,3.75,12393
"540700","20728","LUNCH_BAG_CARS_BLUE",20,1.65,12393
"540700","22382","LUNCH_BAG_SPACEBOY_DESIGN",20,1.65,12393
"540700","21915","RED__HARMONICA_IN_BOX",12,1.25,12393
"540700","22549","PICTURE_DOMINOES",12,1.45,12393
"540700","21578","WOODLAND_DESIGN__COTTON_TOTE_BAG",12,2.25,12393
"540700","21577","SAVE_THE_PLANET_COTTON_TOTE_BAG",12,2.25,12393
"540700","22245","HOOK,_1_HANGER_,MAGIC_GARDEN",12,0.85,12393
"540700","22244","3_HOOK_HANGER_MAGIC_GARDEN",12,1.95,12393
"541149","22449","SILK_PURSE_BABUSHKA_PINK",6,2.95,12393
"541149","22450","SILK_PURSE_BABUSHKA_BLUE",6,2.95,12393
"541149","22451","SILK_PURSE_BABUSHKA_RED",48,2.95,12393
"541271","84970L","SINGLE_HEART_ZINC_T-LIGHT_HOLDER",12,0.95,12388
"541271","71459","HANGING_JAM_JAR_T-LIGHT_HOLDER",24,0.85,12388
"541271","22429","ENAMEL_MEASURING_JUG_CREAM",4,4.25,12388
"541271","22262","FELT_EGG_COSY_CHICKEN",12,0.85,12388
"541271","47590B","PINK_HAPPY_BIRTHDAY_BUNTING",6,5.45,12388
"541271","47590A","BLUE_HAPPY_BIRTHDAY_BUNTING",6,5.45,12388
"541271","22669","RED_BABY_BUNTING",6,2.95,12388
"541271","22148","EASTER_CRAFT_4_CHICKS",12,1.95,12388
"541271","22957","SET_3_PAPER_VINTAGE_CHICK_PAPER_EGG",6,2.95,12388
"541271","47566","PARTY_BUNTING",5,4.65,12388
"541271","22963","JAM_JAR_WITH_GREEN_LID",12,0.85,12388
"541271","22962","JAM_JAR_WITH_PINK_LID",12,0.85,12388
"541271","22961","JAM_MAKING_SET_PRINTED",24,1.45,12388
"541271","22960","JAM_MAKING_SET_WITH_JARS",12,3.75,12388
"541271","22967","SET_3_SONG_BIRD_PAPER_EGGS_ASSORTED",6,2.95,12388
"541271","22310","IVORY_KNITTED_MUG_COSY",6,1.65,12388
"541271","22969","HOMEMADE_JAM_SCENTED_CANDLES",24,1.45,12388
"541271","22722","SET_OF_6_SPICE_TINS_PANTRY_DESIGN",12,3.95,12388
"541271","22720","SET_OF_3_CAKE_TINS_PANTRY_DESIGN",3,4.95,12388
"541520","20728","LUNCH_BAG_CARS_BLUE",10,1.65,12422
"541520","20713","JUMBO_BAG_OWLS",10,1.95,12422
"541520","21937","STRAWBERRY___PICNIC_BAG",5,2.95,12422
"541520","21936","RED_RETROSPOT_PICNIC_BAG",5,2.95,12422
"541520","21932","SCANDINAVIAN_PAISLEY_PICNIC_BAG",5,2.95,12422
"541520","20717","STRAWBERRY_SHOPPER_BAG",10,1.25,12422
"541520","22503","CABIN_BAG_VINTAGE_PAISLEY",3,12.75,12422
"541520","20712","JUMBO_BAG_WOODLAND_ANIMALS",10,1.95,12422
"541520","85099C","JUMBO__BAG_BAROQUE_BLACK_WHITE",10,1.95,12422
"541520","22379","RECYCLING_BAG_RETROSPOT",5,2.1,12422
"541520","22356","CHARLOTTE_BAG_PINK_POLKADOT",10,0.85,12422
"541520","20727","LUNCH_BAG__BLACK_SKULL.",10,1.65,12422
"541520","22384","LUNCH_BAG_PINK_POLKADOT",20,1.65,12422
"541657","22087","PAPER_BUNTING_WHITE_LACE",6,2.95,16321
"541657","85123A","WHITE_HANGING_HEART_T-LIGHT_HOLDER",6,2.95,16321
"541657","21056","DOCTOR'S_BAG_SOFT_TOY",3,8.95,16321
"541657","22960","JAM_MAKING_SET_WITH_JARS",6,4.25,16321
"542542","21115","ROSE_CARAVAN_DOORSTOP",4,6.75,12431
"542542","21524","DOORMAT_SPOTTY_HOME_SWEET_HOME",2,7.95,12431
"542542","22785","SQUARECUSHION_COVER_PINK_UNION_FLAG",4,6.75,12431
"542542","22786","CUSHION_COVER_PINK_UNION_JACK",4,5.95,12431
"542542","22192","BLUE_DINER_WALL_CLOCK",4,8.5,12431
"542542","22193","RED_DINER_WALL_CLOCK",4,8.5,12431
"542542","22191","IVORY_DINER_WALL_CLOCK",4,8.5,12431
"542542","22726","ALARM_CLOCK_BAKELIKE_GREEN",4,3.75,12431
"542542","22727","ALARM_CLOCK_BAKELIKE_RED",4,3.75,12431
"542542","22728","ALARM_CLOCK_BAKELIKE_PINK",4,3.75,12431
"542542","22729","ALARM_CLOCK_BAKELIKE_ORANGE",4,3.75,12431
"542542","22730","ALARM_CLOCK_BAKELIKE_IVORY",4,3.75,12431
"542542","84988","SET_OF_72_PINK_HEART_PAPER_DOILIES",12,1.45,12431
"542542","22194","BLACK_DINER_WALL_CLOCK",2,8.5,12431
"542542","21243","PINK__POLKADOT_PLATE",8,1.69,12431
"542542","21242","RED_RETROSPOT_PLATE",8,1.69,12431
"542542","21245","GREEN_POLKADOT_PLATE",8,1.69,12431
"542542","21244","BLUE_POLKADOT_PLATE",8,1.69,12431
"542542","22467","GUMBALL_COAT_RACK",6,2.55,12431
"542542","21094","SET/6_RED_SPOTTY_PAPER_PLATES",12,0.85,12431
"543357","84978","HANGING_HEART_JAR_T-LIGHT_HOLDER",12,1.25,12388
"543357","22960","JAM_MAKING_SET_WITH_JARS",6,4.25,12388
"543357","47590B","PINK_HAPPY_BIRTHDAY_BUNTING",3,5.45,12388
"543357","47566","PARTY_BUNTING",4,4.95,12388
"543357","22087","PAPER_BUNTING_WHITE_LACE",6,2.95,12388
"543357","22720","SET_OF_3_CAKE_TINS_PANTRY_DESIGN",6,4.95,12388
"543372","22087","PAPER_BUNTING_WHITE_LACE",18,2.95,16321
"543372","22325","MOBILE_VINTAGE_HEARTS",3,4.95,16321
"C543375","22325","MOBILE_VINTAGE_HEARTS",-3,4.95,16321
"C543375","22087","PAPER_BUNTING_WHITE_LACE",-18,2.95,16321
"543376","22325","MOBILE_VINTAGE_HEARTS",3,4.95,16321
"543376","22087","PAPER_BUNTING_WHITE_LACE",18,2.95,16321
"543989","23231","WRAP_DOILEY_DESIGN",200,0.34,12415
"543989","23230","WRAP_ALPHABET_DESIGN",200,0.34,12415
"543989","23233","WRAP_POPPIES__DESIGN",100,0.42,12415
"543989","22989","SET_2_PANTRY_DESIGN_TEA_TOWELS",200,2.75,12415
"543989","22990","COTTON_APRON_PANTRY_DESIGN",100,4.25,12415
"543989","22969","HOMEMADE_JAM_SCENTED_CANDLES",480,1.25,12415
"543989","22962","JAM_JAR_WITH_PINK_LID",384,0.72,12415
"543989","22963","JAM_JAR_WITH_GREEN_LID",240,0.72,12415
"543989","22960","JAM_MAKING_SET_WITH_JARS",96,3.75,12415
"543989","22666","RECIPE_BOX_PANTRY_YELLOW_DESIGN",96,2.55,12415
"543989","22907","PACK_OF_20_NAPKINS_PANTRY_DESIGN",96,0.72,12415
"543989","22722","SET_OF_6_SPICE_TINS_PANTRY_DESIGN",48,3.45,12415
"543989","22968","ROSE_COTTAGE_KEEPSAKE_BOX",48,8.5,12415
"543989","22652","TRAVEL_SEWING_KIT",200,1.45,12415
"543989","22654","DELUXE_SEWING_KIT",80,4.95,12415
"543989","22653","BUTTON_BOX",100,1.95,12415
"543989","22651","GENTLEMAN_SHIRT_REPAIR_KIT",288,0.72,12415
"543989","22630","DOLLY_GIRL_LUNCH_BOX",256,1.65,12415
"543989","22662","LUNCH_BAG_DOLLY_GIRL_DESIGN",200,1.45,12415
"543989","22635","CHILDS_BREAKFAST_SET_DOLLY_GIRL",16,8.5,12415
"543989","22029","SPACEBOY_BIRTHDAY_CARD",144,0.36,12415
"543989","22382","LUNCH_BAG_SPACEBOY_DESIGN",100,1.45,12415
"543989","22544","MINI_JIGSAW_SPACEBOY",240,0.36,12415
"543989","22613","PACK_OF_20_SPACEBOY_NAPKINS",96,0.72,12415
"543989","22629","SPACEBOY_LUNCH_BOX",192,1.65,12415
"543989","22617","BAKING_SET_SPACEBOY_DESIGN",72,4.25,12415
"543989","22634","CHILDS_BREAKFAST_SET_SPACEBOY",24,8.5,12415
"543989","22417","PACK_OF_60_SPACEBOY_CAKE_CASES",120,0.42,12415
"543989","22631","CIRCUS_PARADE_LUNCH_BOX",128,1.65,12415
"543989","22556","PLASTERS_IN_TIN_CIRCUS_PARADE",96,1.45,12415
"543989","22716","CARD_CIRCUS_PARADE",144,0.36,12415
"543989","22636","CHILDS_BREAKFAST_SET_CIRCUS_PARADE",24,7.65,12415
"543989","22423","REGENCY_CAKESTAND_3_TIER",64,10.95,12415
"543989","22699","ROSES_REGENCY_TEACUP_AND_SAUCER",72,2.55,12415
"543989","22698","PINK_REGENCY_TEACUP_AND_SAUCER",72,2.55,12415
"543989","22697","GREEN_REGENCY_TEACUP_AND_SAUCER",72,2.55,12415
"543989","84997B","RED_3_PIECE_RETROSPOT_CUTLERY_SET",72,3.75,12415
"543989","21080","SET/20_RED_RETROSPOT_PAPER_NAPKINS",192,0.72,12415
"543989","21086","SET/6_RED_SPOTTY_PAPER_CUPS",216,0.53,12415
"543989","21094","SET/6_RED_SPOTTY_PAPER_PLATES",288,0.64,12415
"543989","21210","SET_OF_72_RETROSPOT_PAPER__DOILIES",192,1.25,12415
"543989","21216","SET_3_RETROSPOT_TEA,COFFEE,SUGAR",72,4.25,12415
"543989","21212","PACK_OF_72_RETROSPOT_CAKE_CASES",120,0.42,12415
"543989","21217","RED_RETROSPOT_ROUND_CAKE_TINS",48,8.95,12415
"543989","21880","RED_RETROSPOT_TAPE",72,0.65,12415
"543989","22139","RETROSPOT_TEA_SET_CERAMIC_11_PC",96,4.25,12415
"543989","22333","RETROSPOT_PARTY_BAG_+_STICKER_SET",192,1.45,12415
"543989","22329","ROUND_CONTAINER_SET_OF_5_RETROSPOT",144,1.45,12415
"543989","22505","MEMO_BOARD_COTTAGE_DESIGN",24,4.25,12415
"543989","22628","PICNIC_BOXES_SET_OF_3_RETROSPOT",120,4.25,12415
"543989","22667","RECIPE_BOX_RETROSPOT",24,2.55,12415
"543989","21218","RED_SPOTTY_BISCUIT_TIN",96,3.25,12415
"543989","22840","ROUND_CAKE_TIN_VINTAGE_RED",12,6.95,12415
"543989","22841","ROUND_CAKE_TIN_VINTAGE_GREEN",12,6.95,12415
"543989","22842","BISCUIT_TIN_VINTAGE_RED",12,5.95,12415
"543989","22843","BISCUIT_TIN_VINTAGE_GREEN",12,5.95,12415
"543989","21164","HOME_SWEET_HOME_METAL_SIGN",72,2.55,12415
"543989","21249","WOODLAND__HEIGHT_CHART_STICKERS",60,2.55,12415
"543989","20726","LUNCH_BAG_WOODLAND",100,1.45,12415
"543989","22331","WOODLAND_PARTY_BAG_+_STICKER_SET",144,1.45,12415
"543989","20973","12_PENCIL_SMALL_TUBE_WOODLAND",384,0.55,12415
"543989","22326","ROUND_SNACK_BOXES_SET_OF4_WOODLAND",96,2.55,12415
"543989","21058","PARTY_INVITES_WOODLAND",144,0.72,12415
"543989","22835","HOT_WATER_BOTTLE_I_AM_SO_POORLY",8,4.65,12415
"543989","84029G","KNITTED_UNION_FLAG_HOT_WATER_BOTTLE",8,3.75,12415
"543989","21195","PINK__HONEYCOMB_PAPER_BALL",48,1.69,12415
"543989","21191","LARGE_WHITE_HONEYCOMB_PAPER_BELL",48,1.69,12415
"543989","21192","WHITE_BELL_HONEYCOMB_PAPER",48,1.45,12415
"543989","21977","PACK_OF_60_PINK_PAISLEY_CAKE_CASES",120,0.42,12415
"545065","22992","REVOLVER_WOODEN_RULER",24,1.95,12431
"545065","21731","RED_TOADSTOOL_LED_NIGHT_LIGHT",144,1.45,12431
"545065","22505","MEMO_BOARD_COTTAGE_DESIGN",4,4.95,12431
"545065","21937","STRAWBERRY___PICNIC_BAG",5,2.95,12431
"545065","21936","RED_RETROSPOT_PICNIC_BAG",5,2.95,12431
"545065","22785","SQUARECUSHION_COVER_PINK_UNION_FLAG",4,6.75,12431
"545065","22786","CUSHION_COVER_PINK_UNION_JACK",2,5.95,12431
"545065","21933","PINK_VINTAGE_PAISLEY_PICNIC_BAG",5,2.95,12431
"545065","21555","CERAMIC_STRAWBERRY_TRINKET_TRAY",12,2.55,12431
"545065","22466","FAIRY_TALE_COTTAGE_NIGHTLIGHT",12,1.95,12431
"545475","22978","PANTRY_ROLLING_PIN",72,3.39,12415
"545475","22980","PANTRY_SCRUBBING_BRUSH",144,1.45,12415
"545475","22993","SET_OF_4_PANTRY_JELLY_MOULDS",144,1.06,12415
"545475","22654","DELUXE_SEWING_KIT",80,4.95,12415
"545475","22968","ROSE_COTTAGE_KEEPSAKE_BOX",24,8.5,12415
"545475","22505","MEMO_BOARD_COTTAGE_DESIGN",24,4.25,12415
"545475","22539","MINI_JIGSAW_DOLLY_GIRL",240,0.36,12415
"545475","22630","DOLLY_GIRL_LUNCH_BOX",256,1.65,12415
"545475","22662","LUNCH_BAG_DOLLY_GIRL_DESIGN",100,1.45,12415
"545475","22635","CHILDS_BREAKFAST_SET_DOLLY_GIRL",24,8.5,12415
"545475","22708","WRAP_DOLLY_GIRL",200,0.34,12415
"545475","22423","REGENCY_CAKESTAND_3_TIER",32,10.95,12415
"545475","22699","ROSES_REGENCY_TEACUP_AND_SAUCER",24,2.55,12415
"545475","84997B","CHILDRENS_CUTLERY_RETROSPOT_RED",72,3.75,12415
"545475","21080","SET/20_RED_RETROSPOT_PAPER_NAPKINS",96,0.72,12415
"545475","21086","SET/6_RED_SPOTTY_PAPER_CUPS",216,0.53,12415
"545475","21094","SET/6_RED_SPOTTY_PAPER_PLATES",96,0.64,12415
"545475","21216","SET_3_RETROSPOT_TEA,COFFEE,SUGAR",120,4.25,12415
"545475","21217","RED_RETROSPOT_ROUND_CAKE_TINS",120,8.95,12415
"545475","22083","PAPER_CHAIN_KIT_RETROSPOT",80,2.55,12415
"545475","22090","PAPER_BUNTING_RETROSPOT",80,2.55,12415
"545475","21218","RED_SPOTTY_BISCUIT_TIN",120,3.25,12415
"545475","20677","PINK_POLKADOT_BOWL",144,1.06,12415
"545475","21239","PINK__POLKADOT_CUP",96,0.72,12415
"545475","21240","BLUE_POLKADOT_CUP",96,0.72,12415
"545475","21243","PINK__POLKADOT_PLATE",96,1.45,12415
"545475","21244","BLUE_POLKADOT_PLATE",96,1.45,12415
"545475","21238","RED_RETROSPOT_CUP",96,0.72,12415
"545475","22842","BISCUIT_TIN_VINTAGE_RED",48,5.95,12415
"545475","22841","ROUND_CAKE_TIN_VINTAGE_GREEN",36,6.95,12415
"545475","22840","ROUND_CAKE_TIN_VINTAGE_RED",36,6.95,12415
"545475","22838","3_TIER_CAKE_TIN_RED_AND_CREAM",20,14.95,12415
"545475","22839","3_TIER_CAKE_TIN_GREEN_AND_CREAM",32,12.75,12415
"545475","22846","BREAD_BIN_DINER_STYLE_RED",16,14.95,12415
"545475","22849","BREAD_BIN_DINER_STYLE_MINT",8,14.95,12415
"545475","22848","BREAD_BIN_DINER_STYLE_PINK",8,14.95,12415
"545475","22666","RECIPE_BOX_PANTRY_YELLOW_DESIGN",72,2.55,12415
"545475","22960","JAM_MAKING_SET_WITH_JARS",120,3.75,12415
"545475","22961","JAM_MAKING_SET_PRINTED",96,1.25,12415
"545475","22969","HOMEMADE_JAM_SCENTED_CANDLES",288,1.25,12415
"545475","21508","VINTAGE_KID_DOLLY_CARD",72,0.36,12415
"545475","21509","COWBOYS_AND_INDIANS_BIRTHDAY_CARD",144,0.36,12415
"545475","22027","TEA_PARTY_BIRTHDAY_CARD",144,0.36,12415
"545475","22029","SPACEBOY_BIRTHDAY_CARD",72,0.36,12415
"545475","22714","CARD_BIRTHDAY_COWBOY",144,0.36,12415
"545475","22035","VINTAGE_CARAVAN_GREETING_CARD",72,0.36,12415
"545475","22715","CARD_WEDDING_DAY",144,0.36,12415
"545475","22046","TEA_PARTY__WRAPPING_PAPER",200,0.34,12415
"545475","22636","CHILDS_BREAKFAST_SET_CIRCUS_PARADE",24,7.65,12415
"545475","22631","CIRCUS_PARADE_LUNCH_BOX",128,1.65,12415
"545475","22615","PACK_OF_12_CIRCUS_PARADE_TISSUES",432,0.25,12415
"545475","22555","PLASTERS_IN_TIN_STRONGMAN",288,1.45,12415
"545475","22551","PLASTERS_IN_TIN_SPACEBOY",192,1.45,12415
"545475","22556","PLASTERS_IN_TIN_CIRCUS_PARADE",192,1.45,12415
"545475","22557","PLASTERS_IN_TIN_VINTAGE_PAISLEY",96,1.45,12415
"545475","21984","PACK_OF_12_PINK_PAISLEY_TISSUES",432,0.25,12415
"545475","21981","PACK_OF_12_WOODLAND_TISSUES",432,0.25,12415
"545475","22093","MOTORING_TISSUE_BOX",36,1.06,12415
"545475","22045","SPACEBOY_GIFT_WRAP",200,0.34,12415
"545475","22382","LUNCH_BAG_SPACEBOY_DESIGN",100,1.45,12415
"545475","22629","SPACEBOY_LUNCH_BOX",320,1.65,12415
"545475","22634","CHILDS_BREAKFAST_SET_SPACEBOY",24,8.5,12415
"545475","22617","BAKING_SET_SPACEBOY_DESIGN",48,4.25,12415
"545475","22541","MINI_JIGSAW_LEAP_FROG",240,0.36,12415
